sector,industry,subindustry,ssic2010,ssic2015
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16211,16211
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16219,16219
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16221,16221
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16222,16222
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16229,16229
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16231,16230
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16239,16230
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16291,16291
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16292,16292
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16293,16293
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16294,16294
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,16299,16299
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17010,17010
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17021,17021
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17022,17022
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17091,17091
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17093,17093
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17094,17094
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,17099,17099
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,22119,22119
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,22122,22122
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,22194,22194
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,22212,22212
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,22217,22217
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23911,23911
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23912,23912
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23919,23919
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23931,23931
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23939,23939
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23940,23940
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23951,23951
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23959,23959
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23960,23960
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23991,23991
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23992,23992
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23993,23993
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23994,23994
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,23995,23995
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24101,24101
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24102,24102
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24109,24109
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24201,24201
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24202,24202
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24209,24209
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24310,24310
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,24320,24320
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25111,25111
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25112,25112
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25114,25114
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25119,25119
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25120,25120
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25952,25952
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25991,25991
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25992,25992
Manufacturing,General Manufacturing Industries,Miscellaneous Industries,25994,25994
